course_id,Course_Title,Course_URL,Platform,Language,Description,Skill,Level,Price_Model,monthly_price,Programming Instructor,Last Update,offering_type,Duration_Hours,Review_Count,Avg_Rating,enrolled_students,Best_Category
nd002,Data Analyst,https://www.udacity.com/course/data-analyst-nanodegree--nd002,Udacity,en-us,"Clean up messy data, uncover patterns and insights, and communicate your findings. You'll start with an introduction to data analysis tools, including Jupyter Notebook, NumPy, pandas, and Matplotlib. Using these tools, you will ask questions about data and answer them through data collection, exploration, wrangling, and visualization. This intermediate-level program includes real-world projects where you will choose your own datasets, research questions, and analysis approach. As you progress through the program, each course will repeat the data analysis process while introducing more advanced techniques, such as applying data imputation to fill in missing data and applying appropriate encodings when developing data visualizations.","Latent variables, Data fluency, Exploratory data analysis, Professional presentations, Data limitations and biases, Data storytelling, Jupyter notebooks, Quantitative data visualization, Data visualization design, Data cleaning, Data storage, Data Tidiness Assessment, Data gathering, Data wrangling, Pandas, Data quality assessment, File i/o, Basic data visualizations, Data analysis process, NumPy, Data manipulation",Intermediate,Subscription,12700,"Josh Magee, Ria Cheruvu, Matt Maybeno",2025-10-21 14:22:09.030000+00:00,Nanodegree,43 hours,1295,4.8,26584,Data Analytics
nd104,Programming for Data Science with Python,https://www.udacity.com/course/programming-for-data-science-nanodegree--nd104,Udacity,en-us,"Learn programming skills needed to uncover patterns and insights in large data sets, running queries with relational databases and working with Unix shell and Git.","NumPy, Pandas, SQL aggregations, SQL joins, SQL queries, Control flow, Built-in Python functions, Python methods, Python function definition, SQL subqueries, SQL window functions, Unix shell, Python package management, Python data types, Iterators, Python exception handling, Python best practices, Python operators, Python data structures, Docstrings, Anaconda, Python ides, Variable scope, List comprehension, Python syntax, User input handling, Data storytelling, Tableau data pane, Tableau map-based visualizations, Tableau interactive dashboards, Tableau field organization and customization, Data visualization design, Tableau visualizations, Chart selection, Tableau storypoint, Tableau calculated fields, Git, Data cleaning, SQL query performance tuning, Python scripting",Beginner,Subscription,12700,"Josh Bernhard, Karl Krueger, Derek Steer, Richard Kalehoff, Juno Lee",2026-04-05 11:21:16.687000+00:00,Nanodegree,53 hours,837,4.8,35223,Data Analytics
nd000,Introduction to Programming,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Udacity,en-us,"Welcome to the world of programming! Learn the skills that all programmers use, whether they build apps, web pages, or analyze data.","Control flow in Python, Command line interface basics, Python functions, Object-oriented Python, CSS, Python data structures, Text processing in Python, Code debugging, Python operators, Python classes, API requests, Variable scope, Python syntax, User input handling, Front-end development basics, Python methods, Python exception handling, Python lists, Computer memory architecture, Python standard library, Coding best practices, Python data types, Linting, Pep8, Code refactoring, Bash, Shell scripting, Built-in Python functions, Python turtle, Python function definition, Commenting code, Python variables, Devtools, Flexbox, JavaScript functions, JavaScript console, Control flow in JavaScript, JavaScript data structures, JavaScript data types, JSON, Basic Python, Python scripting, HTML",Beginner,Subscription,12700,"Kelly Howard, Karl Krueger, Rachel Manning, Abe Feinberg, Richard Kalehoff, Julia Van Cleve, James Parkes",2026-04-22 16:40:41.105000+00:00,Nanodegree,109 hours,1342,4.8,52251,Programming
nd089,AI Programming with Python,https://www.udacity.com/course/ai-programming-python-nanodegree--nd089,Udacity,en-us,"Develop a strong foundation in Python programming for AI, utilizing tools like NumPy, pandas, and Matplotlib for data analysis and visualization. Learn how to use, build, and train machine learning models with popular Python libraries. Implement neural networks using PyTorch. Gain practical experience with deep learning frameworks by applying your skills through hands-on projects. Explore generative AI with Transformer neural networks, learn to build, train, and deploy them with PyTorch, and leverage pre-trained models for natural language processing tasks. Designed for individuals with basic programming experience, this program prepares you for advanced studies in AI and machine learning, equipping you with the skills to begin a career in AI programming.","Generative AI Awareness, Text generation, Attention mechanisms, GPT, Hugging Face, Transformer neural networks, Foundation Model Concepts, Word embeddings, PyTorch, Natural language processing, NLP transformers, Logistic regression, Deep learning framework proficiency, Classification models, Feedforward neural networks, Deep learning, Transfer learning, Training neural networks, Neural network basics, Basic PyTorch, Gradient descent, Perceptron, Neural network mechanics, Backpropagation, Python package management, Pandas, Pip, Anaconda, matplotlib, Jupyter notebooks, NumPy, Python packaging, Python functions, Basic Python, Python methods, Text processing in Python, Functional Python, Boolean expressions, Python operators, List comprehension, Python syntax, Python data types, Python best practices, Python variables, Control flow in Python, Python Certified Entry-Level Programmer, Python string methods, Python exception handling, Built-in Python functions, Python function definition, Python data structures, Python collections",Beginner,Subscription,12700,"Brian Hough, Mat Leonard, Juan Delgado, Juno Lee, Mike Yi, PhD, Luis Serrano, Ivan Mushketyk",2026-04-08 09:56:13.822000+00:00,Nanodegree,52 hours,645,4.7,20084,Programming
cd13224,Generative AI Fluency,https://www.udacity.com/course/generative-ai-fluency--cd13224,Udacity,en-us,"This course provides a comprehensive high-level overview of Generative AI, beginning with foundational concepts and terminology and then delving into specific applications such as Large Language Models (LLMs) for text generation and diffusion-based models image creation. Key lessons include an in-depth look at LLMs, AI image generation methods, and hands-on experience with tools like DALL-E and Midjourney. The course concludes by addressing practical aspects of deploying Generative AI in production environments, focusing on data collection, prompt execution, maintenance, and orchestration strategies.",Generative AI Fluency,Fluency,Subscription,12700,"Uohna Thiessen, Rohan Viswanathan, Giacomo Vianello, Raphael Mallari, Ed Wiley, Erick Galinkin, Chang She, Sergei Kozyrenko, Emily McMilin",2026-03-15 14:23:21.413000+00:00,single course,7 hours,289,4.8,10269,Artificial Intelligence
cd14380,Agentic AI Fluency,https://www.udacity.com/course/agentic-ai-fluency--cd14380,Udacity,en-us,"Go beyond basic chatbots and understand the next wave of automation.  Learn what AI Agents are and how they work. You will explore the core concepts of agentic reasoning, planning, and tool use. Gain the knowledge to identify high-value opportunities for agentic systems in your business, evaluate their performance, and collaborate effectively with technical teams on AI initiatives.","Agentic AI, AI Agents, Agentic Reasoning Frameworks",Fluency,Subscription,12700,"Noble Ackerson, Gordon Dri",2026-05-06 10:41:42.868000+00:00,single course,6 hours,152,4.7,3642,Artificial Intelligence
nd027,Data Engineering with AWS,https://www.udacity.com/course/data-engineer-nanodegree--nd027,Udacity,en-us,"Learn to design data models, build data warehouses and data lakes, automate data pipelines, and work with massive datasets.","PostgreSQL, Database normalization, Denormalized data schemas, Data modeling basics, Data pipeline dags, Data pipeline partitioning, Amazon s3, Data pipeline maintenance, Redshift, Data pipeline creation, Apache Airflow, Data lineage, AWS data lakes, ELT, Big data fluency, Data wrangling, Amazon Athena, Data Lakehouse Architecture, Data transformation, Apache Spark, Data format fundamentals, AWS glue, Data lakes, Data extraction, Column-oriented dbmss, Snowflake schemas, Table design, ETL, Data validation, Data warehouse architecture, Star schemas, AWS data warehouse, Online transactional processing models, AWS database services, Data definition language, Neo4j, Database fundamentals, NoSQL data models, Mongodb, Relational data models, Online analytical processing models, Document database schemas",Intermediate,Subscription,12700,"Sean Murdock, Matt Swaffer, Ben Goldberg, Amanda Moran, Valerie Scarlata",2026-04-12 11:57:38.944000+00:00,Nanodegree,39 hours,1277,4.6,37495,Database
nd018,Digital Marketing,https://www.udacity.com/course/digital-marketing-nanodegree--nd018,Udacity,en-us,"Build job-ready digital marketing skills by learning from industry experts. Run live campaigns, analyze results, and apply proven techniques to engage audiences and strengthen brand performance in this comprehensive Nanodegree.","Social media advertising, Content calendars, Social media marketing platforms, Social media content, Digital marketing campaign evaluation, Target personas, Social media campaign objectives, Facebook ads, Social media marketing metrics, Social media community management, Leveraging social media influencers, Marketing objectives, Marketing channels, Customer journey maps, Value proposition, Marketing metrics, Empathy maps, Email contact forms, Email marketing metrics, Mailchimp, Email marketing content, A/B testing, Audience targeting, Google ads, Native advertising, Ad campaign management, Programmatic display advertising, Display advertising, Video advertising, Search text ads, Cost per click, Search engine ad ranking, Keyword lists, Dynamic search ads, Digital marketing metrics, Search engine optimization, SEO audits, Link building, Social media marketing, Utm codes, Audience evaluation, MarTech fluency, Marketing KPIs, Google analytics fundamentals, Conversion tracking, Agile marketing, Competitive analysis, Branding strategy, Content marketing strategy, Marketing fundamentals",Beginner,Subscription,12700,"Liana Gross Furini, Jen Crompton, John Triggs, Matt Bailey, Erica Reid, Benjamin Kepner, Dawn Raquel Jensen, Daniel Kob, Anke Audenaert",2025-08-18 14:28:45.973000+00:00,Nanodegree,73 hours,1031,4.7,30752,Other
nd098,Business Analytics with Tableau,https://www.udacity.com/course/business-analytics-nanodegree--nd098,Udacity,en-us,"Dive into business analytics with this Nanodegree. Master Excel, SQL, and Tableau to analyze data, create interactive dashboards, and deliver insights that drive informed, impactful business decisions.","Univariate and Bivariate Chart Selection, Tableau Aggregations, Tableau visualizations, Tableau proficiency, Tableau Marks and Filters, Data Visualization Design Integrity, Interactive and Responsive Tableau Dashboard Design, Tableau hierarchies, Tableau Dashboard Creation, Connecting to Data and Setting Up Tableau, Tableau interactive dashboards, Tableau Chart Types, Tableau storypoint, Color and Visual Encodings, Tableau groups, Building and Saving Worksheets in Tableau, Tableau calculated fields, SQL joins, SQL Clauses, SQL subqueries, SQL Operators, SQL Data Cleaning, SQL aggregations, Basic SQL, Scatter Plot Awareness, Growth metrics, Spreadsheet Navigation, Data visualization in spreadsheets, KPI Awareness, Lookups and Pivoting, Finance metrics, Line and Area Charts in Spreadsheets, Basic spreadsheet use, Tabular Data Awareness, Spreadsheet Operations, Efficiency Metrics, Data Relationships, Pie Charts in Spreadsheets, Spreadsheet Cell Referencing, Scatter Plots in Spreadsheets, Pie Chart Awareness, Business metrics, Customer Satisfaction Metrics, Bar and Column Charts in Spreadsheets, Function and Formula Syntax, Histograms in Spreadsheets, Bar and Column Chart Awareness, Spreadsheet functions, Data types, Histogram Awareness, Profitability Metrics, Date and Data Cleanup, Basic descriptive statistics, Line and Area Chart Awareness, Chart types, Chart Selection and Formatting in Spreadsheets, Innovation Metrics, Pivot tables, Data Summarization, Logic and Aggregation Formulas",Beginner,Subscription,12700,"Jayden Ziegler, David Elliott, Derek Steer, Josh Bernhard, Jennie Lytel-Sternberg",2026-03-09 15:40:45.227000+00:00,Nanodegree,40 hours,1254,4.8,38455,Data Analytics
nd036,Product Manager,https://www.udacity.com/course/product-manager-nanodegree--nd036,Udacity,en-us,Build job-ready skills for a successful PM career with this comprehensive Nanodegree program. Learn the fundamentals of product management from strategy planning to launch with expert guidance and hands-on projects.,"Product design sprints, Product scaling, Project evaluation, Solution sketching, Problem validation, Product management basics, Product proposals, Stakeholder management, Product roadmaps, End-user documentation, Feedback loops, A/B testing, Project risk mitigation, Competitive analysis, Stakeholder identification, Decision matrix method, Product validation, User research planning, Evangelization, Press releases, Thinking hats, Crazy 8s, Product success metrics, Product design principles, User interviews, Iterative product design, Technical feasibility evaluation, Affinity mapping, Product storyboarding, Product KPIs, High fidelity prototypes, How might we method, Business model canvasses, Requirements gathering, Return on investment, Active listening, Professional presentations, Product development cycle, Storytelling, Product requirements documents, Total addressable market, Minimal viable products, Mixed methods market research, Product marketing, Product pricing strategy, Negotiation, Product launch, Project management frameworks, Prioritization, Cross-functional collaboration, Functional testing, Real-world Testing, Persuasion, Product prototyping, User personas",Beginner,Subscription,12700,"Alex King, Anastasia Root",2026-01-12 13:27:00.930000+00:00,Nanodegree,50 hours,655,4.7,30340,Business & Management
